2016-09-23 18:46:44,574 [Thread-21:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-09-23 18:46:44,575 [Thread-21:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '67j50nqkjodl7nvlu0szayy2hkl20fqf' AND `django_session`.`expire_date` > '2016-09-23 18:46:44'); args=('67j50nqkjodl7nvlu0szayy2hkl20fqf', u'2016-09-23 18:46:44')
2016-09-23 18:46:44,578 [Thread-21:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 5; args=(5,)
2016-09-23 18:46:44,580 [Thread-21:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `auth_group`.`id`, `auth_group`.`name` FROM `auth_group` INNER JOIN `auth_user_groups` ON ( `auth_group`.`id` = `auth_user_groups`.`group_id` ) WHERE `auth_user_groups`.`user_id` = 5; args=(5,)
2016-09-23 18:46:44,581 [Thread-21:140453300295424] [sourceDns.webdns.views:64] [mywrapper:_login] [DEBUG]- 组权限检查，用户:jie.li,属于组:publish,要求组:publish,返回视图:views.audit_req
2016-09-23 18:46:44,583 [Thread-21:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `auth_group`.`id`, `auth_group`.`name` FROM `auth_group` INNER JOIN `auth_user_groups` ON ( `auth_group`.`id` = `auth_user_groups`.`group_id` ) WHERE `auth_user_groups`.`user_id` = 5; args=(5,)
2016-09-23 18:46:44,583 [Thread-21:140453300295424] [sourceDns.webdns.views:56] [mywrapper:_login] [DEBUG]- 组权限检查，用户:jie.li,属于组:publish,要求组:publish,执行当前视图:<function audit_req at 0x34dd758>
2016-09-23 18:46:44,585 [Thread-21:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `cmdb_paudit`.`id`, `cmdb_paudit`.`time`, `cmdb_paudit`.`project_id`, `cmdb_paudit`.`action_id`, `cmdb_paudit`.`requester_id`, `cmdb_paudit`.`username_id`, `cmdb_paudit`.`version`, `cmdb_paudit`.`detail`, `cmdb_paudit`.`result`, `cmdb_paudit`.`status` FROM `cmdb_paudit` WHERE `cmdb_paudit`.`id` = 13; args=(13,)
2016-09-23 18:46:49,488 [Thread-22:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-09-23 18:46:49,491 [Thread-22:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-09-23 18:46:49,492 [Thread-22:140453300295424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '67j50nqkjodl7nvlu0szayy2hkl20fqf' AND `django_session`.`expire_date` > '2016-09-23 18:46:49'); args=('67j50nqkjodl7nvlu0szayy2hkl20fqf', u'2016-09-23 18:46:49')
